epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.853,1.73122,5.01654,0.01485,0.51721,0.01852,0.01028,0.00291,2.62058,4.00455,0.02826,0.0008,0.0008,0.0928
2,455.136,1.80446,3.49539,0.01459,0,0,0,0,nan,nan,nan,0.00169832,0.00169832,0.0846983
3,695.343,1.83534,3.05424,0.01503,0,0,0,0,nan,nan,nan,0.00259485,0.00259485,0.0765949
4,931.267,1.82715,2.4762,0.01549,0,0,0,0,nan,nan,nan,0.0034896,0.0034896,0.0684896
5,1191.67,1.90481,2.33595,0.0157,0,0,0,0,nan,nan,nan,0.00438258,0.00438258,0.0603826
6,1411.23,1.82296,2.25507,0.0153,0,0,0,0,nan,nan,nan,0.00527376,0.00527376,0.0522738
7,1651.45,1.85393,2.22088,0.01518,0,0,0,0,nan,nan,nan,0.00616317,0.00616317,0.0441632
8,1884.56,1.75816,2.16867,0.01434,0,0,0,0,nan,nan,nan,0.0070508,0.0070508,0.0360508
9,2103.17,1.83715,2.16699,0.01515,0,0,0,0,nan,nan,nan,0.00793664,0.00793664,0.0279366
10,2343.07,1.7132,2.00443,0.01426,0,0,0,0,nan,nan,nan,0.0088207,0.0088207,0.0198207
11,2574.97,1.69073,2.0058,0.01398,0,0,0,0,nan,nan,nan,0.00970298,0.00970298,0.011703
12,2819.14,1.74078,2.06712,0.01405,0.02048,0.03096,0.00795,0.00164,nan,nan,nan,0.0098911,0.0098911,0.0098911
13,3053.2,1.71358,2.06757,0.01358,0.00199,0.00463,0.0003,7e-05,4.07357,9.20347,0.04198,0.0098812,0.0098812,0.0098812
14,3289.27,1.72139,1.98138,0.01455,0.00457,0.0217,0.00245,0.0005,nan,nan,nan,0.0098713,0.0098713,0.0098713
15,3531.37,1.67593,1.91627,0.01327,0.02029,0.05622,0.01044,0.0048,4.41631,124.502,0.04559,0.0098614,0.0098614,0.0098614
16,3758.74,1.68311,1.83299,0.01342,0,0,0,0,nan,nan,nan,0.0098515,0.0098515,0.0098515
17,4012.06,1.66547,1.92481,0.01321,0.30899,0.13352,0.03709,0.02164,3.20275,25.1638,0.03313,0.0098416,0.0098416,0.0098416
18,4241.55,1.69552,1.8926,0.01377,0.1149,0.36435,0.11377,0.04398,2.35719,7.93695,0.02531,0.0098317,0.0098317,0.0098317
19,4469.02,1.62637,1.92003,0.01323,0.21959,0.32963,0.18124,0.07875,2.15252,14.9711,0.02303,0.0098218,0.0098218,0.0098218
20,4707.93,1.65375,1.8196,0.01373,0.34356,0.2058,0.14025,0.06412,2.14452,18.9617,0.02285,0.0098119,0.0098119,0.0098119
21,4921.55,1.62155,1.80958,0.0126,0.18654,0.34196,0.16445,0.07006,2.1891,9.05155,0.02364,0.009802,0.009802,0.009802
22,5147.23,1.59259,1.67358,0.01329,0.25667,0.57168,0.31657,0.14251,1.80838,5.24738,0.01946,0.0097921,0.0097921,0.0097921
